file,line,widget,old_text,new_text
app/MAIN_FILE_SINGLE_CAM.py,2940,sound_checkbox,"Toggle UI sound effects (notifications and alerts).","Toggle UI sound effects (notifications and alerts)."
app/MAIN_FILE_SINGLE_CAM.py,4525,overshoot_input,"Percentage overshoot applied to motion gain (positive -> more aggressive). Applies to all detection modes.","Percent overshoot applied to motion gain; positive = more aggressive."
app/MAIN_FILE_SINGLE_CAM.py,4965,hold_infinite_checkbox,"When checked, hold the last known target position indefinitely after loss (no timeout). Use to lock aim at the last seen point.","Hold the last known target position indefinitely after loss (no timeout)."
app/MAIN_FILE_SINGLE_CAM.py,5012,aim_aggression_slider,"How aggressively the turret pursues the center.\n0 = Conservative (lazy tracking)\n50 = Balanced\n100 = Maximum aggression (fastest centering, may overshoot)","How aggressively the turret recenters on target: 0=conservative, 50=balanced, 100=very aggressive (may overshoot)."
app/MAIN_FILE_SINGLE_CAM.py,5045,final_approach_boost_checkbox,"When enabled, applies 2-3x speed boost and reduces smoothing\nwhen target is within 2x deadzone radius.\nThis helps push through the 'lazy zone' for accurate centering.","Enable speed boost and reduced smoothing when the target is very close to improve final centering."
app/MAIN_FILE_SINGLE_CAM.py,5636,lock_target_btn,"QUICK STRIKE: Instantly snap to last detected target at maximum speed.\nIf armed (safety off), fires automatically when position reached.\nThen resumes normal autotracking. Use when you need a fast, decisive shot.","Snap to the last detected target at maximum speed. If armed, fires automatically when position is reached."
app/turret_enhancements.py,174,fire_indicator,"Fire indicator — pulses when a fire is requested (host) and extends when MCU confirms)","Indicates a requested fire event from the host. Pulses when a fire is requested and remains extended when the MCU confirms the action."
app/code_fixer.py,486,apply_fix_btn,"Load selected fix into the editor","Load the selected fix into the editor for review and application."
app/code_fixer.py,493,view_full_file_btn,"Open window showing complete file after fix","Open a window showing the complete file after applying the selected fix."
app/code_fixer.py,500,refresh_scan_btn,"Rescan MAIN_FILE.py to update issue list","Rescan MAIN_FILE.py to refresh the issues list."
app/code_fixer.py,556,copy_btn,"Copy code view to clipboard","Copy the current code view to the clipboard."
app/code_fixer.py,563,paste_btn,"Paste clipboard to editor","Paste clipboard contents into the editor."
app/code_fixer.py,570,clear_edit_btn,"Clear editor contents","Clear the editor contents."
app/code_fixer.py,578,format_btn,"Beautify code with proper indentation","Format and beautify code with consistent indentation."
app/code_fixer.py,592,insert_btn,"Append code to MAIN_FILE.py","Append the selected code to MAIN_FILE.py (use with caution)."
app/code_fixer.py,599,insert_any_btn,"Choose file and insert code","Choose a file and insert the selected code into it."
app/checklist_panel.py,109,title,"Verify code elements and dependencies for app integrity","Verify code elements and dependencies to ensure application integrity."
